timestamp,scenario,condition,trial,success,latency,attempts,tokens,stop_reason,confidence_score,TC,SC,MS
20260323_135100,L2-A,proposed,15,True,1.429,2,1000,success,1.0,1.0,1.0,1.0
20260323_135100,L2-A,proposed,16,True,1.436,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L2-A,proposed,17,True,1.781,2,1000,success,1.0,1.0,1.0,1.0
20260323_135100,L2-A,proposed,18,True,2.435,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L2-A,proposed,19,True,1.632,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L2-A,proposed,20,True,1.147,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L2-B,bl0,1,False,0.113,1,,error,,,,
20260323_135100,L2-B,bl0,2,False,0.114,1,,error,,,,
20260323_135100,L2-B,bl0,3,False,0.126,1,,error,,,,
20260323_135100,L2-B,bl0,4,False,0.117,1,,error,,,,
20260323_135100,L2-B,bl0,5,False,0.121,1,,error,,,,
20260323_135100,L2-B,bl0,6,False,0.103,1,,error,,,,
20260323_135100,L2-B,bl0,7,False,0.106,1,,error,,,,
20260323_135100,L2-B,bl0,8,False,0.144,1,,error,,,,
20260323_135100,L2-B,bl0,9,False,0.131,1,,error,,,,
20260323_135100,L2-B,bl0,10,False,0.155,1,,error,,,,
20260323_135100,L2-B,bl0,11,False,0.121,1,,error,,,,
20260323_135100,L2-B,bl0,12,False,0.165,1,,error,,,,
20260323_135100,L2-B,bl0,13,False,0.12,1,,error,,,,
20260323_135100,L2-B,bl0,14,False,0.12,1,,error,,,,
20260323_135100,L2-B,bl0,15,False,0.108,1,,error,,,,
20260323_135100,L2-B,bl0,16,False,0.119,1,,error,,,,
20260323_135100,L2-B,bl0,17,False,0.104,1,,error,,,,
20260323_135100,L2-B,bl0,18,False,0.11,1,,error,,,,
20260323_135100,L2-B,bl0,19,False,0.101,1,,error,,,,
20260323_135100,L2-B,bl0,20,False,0.123,1,,error,,,,
20260323_135100,L2-B,bl1,1,True,1.642,1,500,success,,,,
20260323_135100,L2-B,bl1,2,True,1.037,1,500,success,,,,
20260323_135100,L2-B,bl1,3,True,0.986,1,500,success,,,,
20260323_135100,L2-B,bl1,4,True,0.086,1,500,success,,,,
